iter	Passed	Remaining
571	2641	1976
572	2643	1969
573	2644	1962
574	2648	1957
575	2650	1950
576	2652	1944
577	2654	1937
578	2655	1931
579	2659	1925
580	2661	1919
581	2665	1914
582	2666	1907
583	2668	1900
584	2670	1894
585	2672	1888
586	2681	1886
587	2683	1880
588	2685	1873
589	2687	1867
590	2689	1861
591	2690	1854
592	2692	1848
593	2695	1842
594	2697	1835
595	2699	1829
596	2700	1823
597	2702	1816
598	2705	1810
599	2710	1806
600	2712	1800
601	2713	1794
602	2719	1790
603	2720	1783
604	2722	1777
605	2726	1772
606	2728	1766
607	2730	1760
608	2732	1754
609	2734	1748
610	2736	1742
611	2740	1737
612	2759	1742
613	2762	1736
614	2764	1730
615	2765	1724
616	2767	1717
617	2769	1711
618	2772	1706
619	2774	1700
620	2775	1694
621	2777	1688
622	2779	1681
623	2781	1675
624	2782	1669
625	2784	1663
626	2791	1660
627	2793	1654
628	2796	1649
629	2799	1644
630	2801	1638
631	2804	1632
632	2806	1627
633	2808	1621
634	2811	1615
635	2812	1609
636	2814	1603
637	2815	1597
638	2819	1592
639	2820	1586
640	2822	1580
641	2824	1575
642	2828	1570
643	2829	1564
644	2831	1558
645	2833	1552
646	2836	1547
647	2837	1541
648	2839	1535
649	2841	1529
650	2843	1524
651	2844	1518
652	2846	1512
653	2858	1512
654	2860	1506
655	2864	1501
656	2865	1496
657	2867	1490
658	2894	1497
659	2896	1491
660	2897	1486
661	2899	1480
662	2901	1474
663	2902	1468
664	2904	1463
665	2908	1458
666	2910	1453
667	2912	1447
668	2924	1446
669	2927	1442
670	2929	1436
671	2932	1431
672	2934	1425
673	2936	1420
674	2938	1414
675	2940	1409
676	2942	1403
677	2943	1398
678	2945	1392
679	2947	1386
680	2949	1381
681	2951	1376
682	2955	1371
683	2959	1367
684	2963	1362
685	2969	1358
686	2972	1354
687	2974	1348
688	2976	1343
689	2978	1337
690	2979	1332
691	2982	1327
692	2984	1322
693	2986	1316
694	2988	1311
695	2991	1306
696	2993	1301
697	2996	1296
698	2998	1291
699	3000	1285
700	3011	1284
701	3013	1279
702	3016	1274
703	3018	1269
704	3020	1263
705	3021	1258
706	3023	1253
707	3025	1247
708	3027	1242
709	3029	1237
710	3031	1232
711	3033	1226
712	3035	1221
713	3036	1216
714	3038	1211
715	3040	1205
716	3083	1216
717	3084	1211
718	3086	1206
719	3088	1200
720	3094	1197
721	3096	1192
722	3098	1187
723	3099	1181
724	3101	1176
725	3103	1171
726	3107	1166
727	3109	1161
728	3110	1156
729	3112	1151
730	3114	1146
731	3116	1140
732	3134	1141
733	3138	1137
734	3143	1133
735	3145	1128
736	3147	1123
737	3150	1118
738	3156	1114
739	3157	1109
740	3159	1104
741	3160	1099
742	3162	1093
743	3164	1088
744	3165	1083
745	3168	1078
746	3169	1073
747	3182	1072
748	3186	1067
749	3188	1062
750	3190	1057
751	3198	1054
752	3200	1049
753	3202	1044
754	3205	1040
755	3207	1035
756	3209	1030
757	3215	1026
758	3217	1021
759	3219	1016
760	3221	1011
761	3226	1007
762	3230	1003
763	3232	998
764	3234	993
765	3235	988
766	3239	984
767	3241	979
768	3245	975
769	3247	970
770	3249	965
771	3250	960
772	3254	955
773	3256	950
774	3260	946
775	3263	941
776	3264	937
777	3266	932
778	3268	927
779	3270	922
780	3271	917
781	3275	913
782	3277	908
783	3279	903
784	3280	898
785	3282	893
786	3284	888
787	3286	884
788	3296	881
789	3300	877
790	3302	872
791	3303	867
792	3307	863
793	3308	858
794	3310	853
795	3312	848
796	3315	844
797	3316	839
798	3319	834
799	3322	830
800	3324	825
801	3326	821
802	3328	816
803	3330	811
804	3344	810
805	3347	805
806	3349	800
807	3350	796
808	3353	791
809	3355	787
810	3357	782
811	3359	777
812	3364	773
813	3365	769
814	3368	764
815	3370	760
816	3372	755
817	3374	750
818	3376	746
819	3377	741
820	3381	737
821	3384	732
822	3386	728
823	3387	723
824	3389	719
825	3392	714
826	3394	710
827	3396	705
828	3401	701
829	3403	697
830	3404	692
831	3406	687
832	3408	683
833	3409	678
834	3413	674
835	3415	670
836	3417	665
837	3419	660
838	3421	656
839	3422	651
840	3425	647
841	3429	643
842	3431	639
843	3433	634
844	3435	630
845	3437	625
846	3439	621
847	3441	616
848	3446	612
849	3448	608
850	3466	606
851	3467	602
852	3469	597
853	3471	593
854	3473	589
855	3477	584
856	3479	580
857	3480	576
858	3482	571
859	3484	567
860	3485	562
861	3487	558
862	3490	554
863	3493	549
864	3495	545
865	3497	541
866	3499	536
867	3501	532
868	3503	528
869	3507	524
870	3509	519
871	3511	515
872	3512	511
873	3514	506
874	3516	502
875	3520	498
876	3523	494
877	3525	489
878	3527	485
879	3529	481
880	3531	476
881	3533	472
882	3543	469
883	3545	465
884	3547	460
885	3550	456
886	3551	452
887	3553	448
888	3555	443
889	3557	439
890	3559	435
891	3561	431
892	3563	426
893	3566	422
894	3567	418
895	3569	414
896	3571	410
897	3578	406
898	3582	402
899	3584	398
900	3585	394
901	3587	389
902	3589	385
903	3591	381
904	3592	377
905	3594	372
906	3597	368
907	3598	364
908	3600	360
909	3602	356
910	3604	352
911	3605	347
912	3607	343
913	3609	339
914	3614	335
915	3616	331
916	3617	327
917	3619	323
918	3623	319
919	3624	315
920	3629	311
921	3631	307
922	3632	303
923	3634	298
924	3636	294
925	3637	290
926	3639	286
927	3642	282
928	3644	278
929	3646	274
930	3650	270
931	3652	266
932	3655	262
933	3657	258
934	3658	254
935	3660	250
936	3662	246
937	3664	242
938	3667	238
939	3670	234
940	3671	230
941	3673	226
942	3678	222
943	3679	218
944	3681	214
945	3684	210
946	3686	206
947	3688	202
948	3690	198
949	3691	194
950	3693	190
951	3695	186
952	3698	182
953	3700	178
954	3702	174
955	3705	170
956	3725	167
957	3727	163
958	3729	159
959	3744	156
960	3745	152
961	3747	148
962	3749	144
963	3751	140
964	3753	136
965	3757	132
966	3759	128
967	3764	124
968	3766	120
969	3768	116
970	3769	112
971	3771	108
972	3773	104
973	3775	100
974	3778	96
975	3802	93
976	3804	89
977	3807	85
978	3811	81
979	3818	77
980	3823	74
981	3826	70
982	3828	66
983	3832	62
984	3836	58
985	3838	54
986	3841	50
987	3843	46
988	3845	42
989	3847	38
990	3862	35
991	3864	31
992	3866	27
993	3868	23
994	3870	19
995	3874	15
996	3876	11
997	3878	7
998	3879	3
999	3881	0
